ma1,ma2,ma3,ma4,ma5,ma6,g1,g2,g3,g4,g5,g6
-0.5067297330634912,-0.16437375370148163,-0.40694424385582656,2.7774463033680363e-05,0.571326938143688,-0.5066129921378073,-1.0857892791406691,-0.3521710244021487,-0.8719949093202626,-5.0512887126510456e-05,1.2241584159206098,-1.0856778689063427
-0.5570232295491531,-0.20192857586268595,-0.4383388937109827,-1.7167306703933914e-05,0.6403352872016635,-0.5570614789102996,-1.1837587216843948,-0.42918704378535383,-0.9313817354069601,1.3798865625841303e-06,1.3606476745531455,-1.1838380171295935
-0.5399328435365087,-0.2111921409354915,-0.41310605180023346,1.4572858278711132e-06,0.6244255081287181,-0.5399342429389176,-1.1472562517988492,-0.44884137968210647,-0.8778862978078561,-4.275093656909882e-05,1.326840258524671,-1.1474459588270574
-0.5645433306543264,-0.177204573824698,-0.45671266903010327,-5.003809384570034e-05,0.633841207707007,-0.564553600199615,-1.1997652555302856,-0.3765198909151091,-0.9704214898996596,-8.732267226782668e-05,1.3469381006135963,-1.1997760868357383
-0.769692904918961,-0.16844562104994437,-0.5909622526575861,7.795747336002946e-05,0.7594946123718996,-0.7697587706135356,-1.5394603841985093,-0.3369149771052783,-1.1818333205640659,8.881424598204915e-05,1.5189492124023458,-1.5394456903395994
-0.5519586020601067,-0.12639919083269577,-0.503913601068723,4.639383253029514e-05,0.6303040035750138,-0.5520484156396698,-1.1729620922139783,-0.2686690524783388,-1.0707300046902266,7.929653764369573e-05,1.3393388387744933,-1.1729987631096712
-0.5636240099437856,-0.11892104435376634,-0.47999416434854186,-2.2148524100188438e-05,0.5990156855324087,-0.563609764584921,-1.1271964931477878,-0.23789117111967265,-0.9600154748963722,6.171439006756829e-06,1.1979533620166292,-1.1271362995953367
-0.5173547895398342,-0.13273723901134907,-0.4251232196317685,-4.1302351529926484e-05,0.5578820923921544,-0.5173481460025464,-1.1085221717115352,-0.2845283777915272,-0.910891623771803,2.8028654868949104e-05,1.1953731040568076,-1.1085067484085793
-0.7623709448460416,-0.18677580821421627,-0.5596152541262335,2.193481495904257e-05,0.7464197727682661,-0.7623545195970438,-1.5247867816970109,-0.37365889224191556,-1.1192055378835335,6.091971502097277e-05,1.4927516029198633,-1.5247694541189976
-0.5963780488311949,-0.15012669287117147,-0.49010304405805566,3.4678694847602e-05,0.6403281425049429,-0.5963961603590194,-1.1928051357860023,-0.30036105165131166,-0.9802323882382235,3.1831933294304226e-05,1.2806157770090112,-1.192787174738377
-0.5677419356887722,-0.17076989882170143,-0.4679074957394258,-7.46111245780837e-05,0.6388050347643227,-0.5676811589409755,-1.2063785408429775,-0.36300010723878634,-0.9943563610830346,-8.447746206497947e-05,1.3573900067653522,-1.2063639574886587
