s1,s2,s3,s4,s5,s6,ma1,ma2,ma3,ma4,ma5,ma6
-6.711421835436937e-05,-4.8095120824598325e-05,-9.694945261884413e-05,-8.62520690727564e-05,9.585005923007373e-05,-1.9751880951268674e-05,-0.5545174872864371,-0.1525506138496261,-0.46435478517903317,-1.599579542610626e-05,0.6168770624008867,-0.5544965421041634
-5.2630245960472166e-05,-5.1141838397938955e-05,-2.4911574445063422e-05,9.627589442384732e-05,9.939508888123783e-05,6.877503466107271e-05,-0.5067297330634912,-0.16437375370148163,-0.40694424385582656,2.7774463033680363e-05,0.571326938143688,-0.5066129921378073
7.498568217290114e-05,7.895117968548249e-05,-7.858998122500793e-05,-3.365370071861662e-05,5.760955590172756e-05,7.322172907286983e-05,-0.5570232295491531,-0.20192857586268595,-0.4383388937109827,-1.7167306703933914e-05,0.6403352872016635,-0.5570614789102996
-8.981396998386515e-05,5.162683927739664e-05,3.194465098665944e-05,4.07534835140666e-05,5.684111009340853e-05,7.617118387326371e-05,-0.5399328435365087,-0.2111921409354915,-0.41310605180023346,1.4572858278711132e-06,0.6244255081287181,-0.5399342429389176
9.838034652620564e-05,-3.540307766591866e-05,-8.260603494214536e-05,-1.689624635936582e-05,-2.2697098850166242e-05,8.861014360572739e-05,-0.5645433306543264,-0.177204573824698,-0.45671266903010327,-5.003809384570034e-05,0.633841207707007,-0.564553600199615
7.457436058722067e-05,2.373500538954687e-05,-9.118475110625468e-05,6.710070073800978e-05,4.001234145345478e-05,-7.185088747174717e-05,-0.769692904918961,-0.16844562104994437,-0.5909622526575861,7.795747336002946e-05,0.7594946123718996,-0.7697587706135356
4.450029889024876e-05,6.290840787581686e-05,-7.67978496085675e-05,1.714698354060573e-05,5.081673103202178e-05,-9.25512218907798e-05,-0.5519586020601067,-0.12639919083269577,-0.503913601068723,4.639383253029514e-05,0.6303040035750138,-0.5520484156396698
-5.1526739783369635e-05,4.908241213996689e-05,2.714619928845252e-05,-5.0468487207133705e-05,7.800904818822119e-05,-8.322957450523916e-05,-0.5636240099437856,-0.11892104435376634,-0.47999416434854186,-2.2148524100188438e-05,0.5990156855324087,-0.563609764584921
-8.333013959571645e-05,8.000742130676031e-05,-7.586600923836784e-05,-0.00010196698212894262,7.745718558282988e-05,-8.436889726759489e-05,-0.5173547895398342,-0.13273723901134907,-0.4251232196317685,-4.1302351529926484e-05,0.5578820923921544,-0.5173481460025464
4.4892004927632456e-05,0.00010727581348302095,-2.497036893345239e-05,-1.7050085102887635e-05,8.794261666889014e-05,6.041492490993505e-05,-0.7623709448460416,-0.18677580821421627,-0.5596152541262335,2.193481495904257e-05,0.7464197727682661,-0.7623545195970438
4.9038123612454854e-05,0.00010766590896871264,2.630012211213284e-05,3.752545640089977e-05,4.0508000874517336e-05,-5.145979661946853e-06,-0.5963780488311949,-0.15012669287117147,-0.49010304405805566,3.4678694847602e-05,0.6403281425049429,-0.5963961603590194
-6.495332947853427e-05,0.00010139754904070486,4.705123267090272e-05,-6.584104681195413e-05,6.283743007440279e-05,3.6884212520682524e-05,-0.5677419356887722,-0.17076989882170143,-0.4679074957394258,-7.46111245780837e-05,0.6388050347643227,-0.5676811589409755
0.00010665556945888,0.0013342435325220947,-0.00016679180448164743,-0.0002508488918939733,0.00023480850066359693,-5.1377126097484904e-05,-0.532436398482608,-0.1757264450553823,-0.45204027445037864,-0.0001352363606214961,0.6284435626374506,-0.5325773392220419
-6.897780053893854e-05,-4.0295947959734235e-05,-2.5419341292298725e-05,4.112185683879943e-05,-1.4183978175097423e-05,-9.271884044625978e-05,-0.5283743126772247,-0.14687516656680344,-0.4907798692382633,6.33428598635579e-05,0.6375999484395585,-0.5283856515238499
-9.656614778119632e-05,-6.80543306019743e-05,2.6026505035581238e-05,3.771052488765747e-05,7.999092714339184e-05,6.745835725574523e-05,-0.5715272739826474,-0.11122666027096896,-0.4970229826101804,5.199866544507835e-05,0.6083142441381834,-0.5713652490415317
-4.740007545400715e-05,-6.764681846860299e-05,-5.960369388802178e-05,5.166354815511198e-05,3.922931035305055e-05,2.98140862220464e-05,-0.7386515100649731,-0.1600010086511915,-0.5772251077782659,7.502652121892692e-05,0.7372268670313156,-0.7386243773738959
4.6616167419522014e-05,-6.467538929388894e-05,-0.0001001999230494377,-6.01859468609689e-05,-8.94547381440347e-05,1.2905417697162136e-05,-0.5435377777856207,-0.1813205022418475,-0.43804897258605047,-6.025744071336508e-05,0.6191771104205276,-0.543582656312963
4.7687975319732345e-05,0.00010211384970482129,-5.458045808470757e-05,-8.892310978403373e-05,-4.8340783704858836e-05,-9.548578830909094e-05,-0.5591778385676427,-0.12483901085246728,-0.521938567362293,-0.012344851290481348,0.6526656547131309,-0.5558924785531437
-7.553731684861731e-05,6.286572399893942e-05,-3.686113308276617e-05,5.743239066458017e-05,-6.384719941632255e-05,2.9780918413102597e-05,-0.5331125007724242,-0.21781584725716768,-0.4365140167648524,3.3277881714587416e-05,0.6543216171853847,-0.5330855814954133
-4.727085570710443e-05,-4.0389840582299996e-05,4.737420445710683e-05,1.681248529283863e-05,7.757887078163606e-05,8.989989045105062e-05,-0.5810886198518026,-0.18710292396450698,-0.4411597821649851,-2.0478483599212768e-05,0.628238714681937,-0.5811173222695536
7.142331926335288e-05,4.3171965646848776e-05,-4.146175728880763e-05,-8.483669284853335e-05,6.669712848061948e-05,-9.077024261294753e-05,-0.5515933348700691,-0.16310957192884912,-0.46080023202213855,-6.12602666200626e-05,0.6240451542214498,-0.5516732696386686
-7.44868029434187e-05,3.337161160565927e-05,2.720412835444108e-05,-6.0715484886841864e-05,-8.279729108640055e-05,-4.1937463117314167e-05,-0.5153548094227736,-0.12567728186892063,-0.41259534595502223,-3.2871547200218606e-05,0.5382820933994622,-0.515338870974758
-4.521506840671208e-05,7.815678488665156e-05,-6.365870450686373e-05,1.7163639073558556e-05,1.0941962262478455e-05,-8.166264818498803e-05,-0.745227268576599,-0.17995416681583423,-0.5789619956514575,-2.0226711041046116e-05,0.7589029363918833,-0.7452690361476237
-5.7812848343274936e-05,0.00011014396471331622,-2.9242200839441068e-05,8.396892541373546e-05,1.7810623565317485e-05,-6.668536038834105e-05,-0.7443464968042157,-0.14364417423824521,-0.6045882901590476,1.5797242997148592e-05,0.7483488587208503,-0.7443874947247577
-6.036393605146628e-05,-8.303983425062e-05,-7.926013630843443e-05,9.214019393954942e-05,-4.83270834727989e-06,4.847075376179788e-05,-0.5021830970965289,-0.17665740288887363,-0.39016380654351146,6.57011455258676e-05,0.5667941074616029,-0.5021008480465614
4.60815088958455e-05,-8.549763975107538e-05,-8.361768612807907e-05,3.563062485767432e-05,2.2384402411645965e-05,7.536429330823324e-05,-0.5156934958842792,-0.1405919927989291,-0.4205600081931426,3.773144880009251e-05,0.5610472666802011,-0.515700507166295
4.500948754326828e-05,3.0080407216637184e-05,-2.5035764577019393e-05,1.7102002785485126e-05,-5.0040956205421594e-05,-1.048047142671038e-05,-0.5495088925188997,-0.17023758412711196,-0.4591557083547796,-1.8534607757646207e-05,0.6292952042595448,-0.5494781083174954
4.451934876392727e-05,-7.480295315165364e-05,6.41282659117337e-05,2.5924875858507335e-05,8.97420545200589e-05,-6.423629496676853e-05,-0.8061246219315804,-0.16972406937718612,-0.6821541661154726,1.9939216686408955e-07,0.8519814217453829,-0.8061690434705755
4.7550610932312054e-05,-2.4038206237086968e-05,-4.30519457017553e-05,3.404609956181304e-05,-6.626810359033897e-05,-2.4070295757461224e-05,-0.7512378624027428,-0.15988185155754733,-0.6096893735047401,4.4951912737648886e-05,0.7694200289147906,-0.7513463398890072
5.8501744478967055e-05,-2.033745234442108e-05,-4.4508011010080395e-05,-1.6890137292335794e-05,-4.632961799622137e-05,4.542451463684927e-05,-0.5644296432895511,-0.19408462997289955,-0.4693083094007546,2.991430567758631e-05,0.6633059503155946,-0.5643860860123031
7.875084199859828e-05,2.0433696674260204e-05,2.645253086619448e-05,3.1272153981021233e-05,-1.394897405049278e-05,1.6776113771932444e-05,-0.49416005808286095,-0.18171631881528252,-0.36304316584438984,-1.7881075465539146e-07,0.5447495540764388,-0.4941616819590422
-7.89027384895391e-05,2.045708738585006e-05,-4.840082132062662e-05,6.749717387588561e-05,6.953536149545414e-05,9.154411969714005e-05,-0.5659783605510054,-0.1444273821558066,-0.4895557571527321,3.6123224737202934e-05,0.6339838680202697,-0.5658364387481541
-4.432081940564103e-05,5.3224224950909615e-05,-9.330616346669984e-05,6.485469214467798e-05,-7.739613626611686e-05,-8.868363481440156e-05,-0.5573604250212201,-0.14171675959356214,-0.46813952830808897,5.227004490335734e-05,0.6098192650468255,-0.5574235179376397
-6.176474134544918e-05,8.397674060756088e-05,-2.746294352728995e-05,2.471404505577368e-05,-1.786246220625287e-05,7.491180808916198e-05,-0.5461487912707611,-0.1729321700796555,-0.44151788579551565,-3.2422125168466096e-06,0.6143934110181297,-0.5460747456219986
6.0178359121643155e-05,-5.0048835904981104e-05,9.892790742949131e-05,3.578788570290925e-05,6.547757494335116e-05,-9.853221912337062e-05,-0.7964908873705273,-0.20165676624000056,-0.6326393906860875,3.120991876566088e-05,0.8344302884681178,-0.7965624265665863
