s1,s2,s3,s4,s5,s6,g1,g2,g3,g4,g5,g6
6.0178359121643155e-05,-5.0048835904981104e-05,9.892790742949131e-05,3.578788570290925e-05,6.547757494335116e-05,-9.853221912337062e-05,-1.5930419531001763,-0.40326348364409614,-1.2653777092796046,2.663195182841251e-05,1.6687950993612923,-1.5930263209140492
-8.473174097822778e-05,-7.557011387415713e-05,4.348673515774948e-05,-3.298323627554112e-05,4.388828327872574e-05,5.237174565131397e-06,-1.0966190463364753,-0.2954517270833258,-0.8505619200030062,-2.5576508247651282e-05,1.145809385242498,-1.096663475092661
5.6571205103495004e-05,7.4037022170792e-05,5.385631907461885e-05,9.101079261775169e-05,-9.627755845897923e-06,-4.015755620390138e-05,-1.1204178259248299,-0.24599990773866973,-0.9637064631472942,-2.102222122599083e-05,1.2095394880744224,-1.1205355460097344
-9.787538114292005e-05,7.677068993583447e-05,3.6683507737222953e-05,1.76835373499884e-05,1.2032380607429616e-05,-9.798162834595558e-05,-1.480059265502968,-0.32650848492747764,-1.0384937148540436,-5.538722773105699e-05,1.365095639349197,-1.4799903744981617
7.695712387523201e-05,-5.8680101055585965e-05,-5.1645871872452176e-05,-8.941467562095795e-05,8.860497704432646e-06,4.615326978374412e-05,-1.1105031881060805,-0.29078159490990063,-0.9336583618507566,7.244518059506842e-05,1.2245942335787083,-1.1104504770699901
-7.135867374596927e-05,2.28007694529353e-05,-5.2438049058523006e-05,7.280539426268717e-05,5.421413204498293e-05,-9.56996447456504e-05,-1.1202026288176024,-0.46517763682959445,-0.9743240553757294,-6.577546081145205e-05,1.4394373546652965,-1.1203176519367197
-6.288643466856314e-05,2.823000954776944e-05,-4.2605897374592416e-05,-8.160880954566352e-05,2.375107356300532e-05,1.5946543094891297e-05,-1.6106318496336085,-0.0831012195169957,-1.6084602425861325,1.4840363440849546e-05,1.6916428865392215,-1.6107648467655007
5.439235184834246e-05,-6.59671064591194e-05,-4.1032931167528375e-05,-6.8862831092531e-05,4.935246099790902e-05,1.1962808724952367e-05,-1.0887603931709742,-0.3168115912167166,-0.8335244414277124,2.2032676616296244e-05,1.1504232617333547,-1.0886033156084065
4.448989606053999e-05,0.00010135763731611291,-2.746474305226343e-05,-2.4809143369886044e-05,8.304748471577028e-05,-2.1831838330932385e-05,-1.0681437423787459,-0.3968853300747463,-0.8183141286373489,-8.300478265754352e-05,1.215323718803986,-1.0680936189119827
6.6547865861466e-05,3.6549850880085444e-05,3.9357540083884146e-05,-5.865044800756891e-05,2.1782830311956047e-05,5.280888820813345e-05,-1.1923608775497911,-0.31085192406070156,-0.98523420437082,2.1577215784735227e-05,1.2959266145502129,-1.1922533946318548
-9.805152689867924e-05,-2.5494351183930064e-05,4.362176530303685e-05,5.117437577872863e-05,2.9038078136700562e-05,-1.1251831418590541e-05,-1.0822721046098818,-0.32600895931967394,-0.8087682768615917,3.3420833597297216e-05,1.1348396859579735,-1.082130573491903
7.070836543832115e-05,-8.521493493240939e-05,-2.9482851726214676e-05,-3.3446544938087186e-05,-9.345307221142463e-05,5.728498374413249e-05,-1.0615608620645784,-0.4070861302405563,-0.7979864107213356,-4.488919515453249e-05,1.205141621844077,-1.0613765725756303
6.58297822910825e-05,-2.044822611502184e-05,2.656238362774843e-05,-0.00010034144197401673,3.539211389025354e-05,5.14201357004751e-05,-1.149656856286346,-0.21330473627011334,-1.086599541480625,-2.7581879109159565e-05,1.2997429128749354,-1.1496065238428603
7.931474343347844e-05,-2.666381402161022e-05,-6.687506954428102e-05,-6.171032982305036e-05,4.9520897169585965e-06,8.643151459342135e-05,-1.1840140064132463,-0.3430127450023836,-0.9658491409816594,-7.223944008407886e-05,1.3086808606346345,-1.183932858014773
8.584457903726417e-05,-3.85009246839374e-05,-8.182871047601736e-05,1.6964943552189027e-05,7.246356890178163e-05,1.7281935805080195e-05,-1.1041983303804226,-0.2859789708849086,-0.8808626559520485,-5.3878805946242735e-05,1.1669264998516726,-1.1041868407886501
9.414821100950377e-05,-3.1076309449318273e-05,4.1362972769576345e-05,5.932337694947165e-05,8.354798011467324e-05,5.2086597499112486e-05,-1.1402469977205734,-0.22233686388827612,-1.03403227353738,8.269241617527628e-05,1.2563250614545272,-1.140277660532317
-6.17818557575589e-05,2.3437874959064686e-05,8.916650092594125e-05,-8.866439462451581e-05,-3.447761411923267e-05,-5.94621541605278e-06,-1.1047514554400626,-0.3066427443093201,-0.9195662462181933,-8.79159221316013e-05,1.2260661734285512,-1.1047182209605746
4.8970385741142763e-05,-5.500464373131564e-05,-2.4947214809500906e-05,-6.233643935438238e-05,-2.7259383779565383e-05,3.2901062095191946e-05,-1.152659362268022,-0.35689187350801765,-1.0299650961050706,2.0373518625774396e-06,1.3869965767334398,-1.1526698555991697
4.740826589522129e-05,-5.885482719580892e-05,9.114234601081961e-05,-8.532424784135628e-05,8.905245779100568e-05,5.129607752785148e-06,-1.8130630907803835,0.17410566392851212,-1.7271716638525014,-7.253238637463273e-05,1.5531100546318328,-1.8130726423766215
-9.100887704871496e-05,-6.987327838547941e-05,-6.543174075979152e-05,9.107065417701676e-05,-2.7834343277355345e-05,1.6731388051915985e-05,-1.195645769674364,-0.32179774241911896,-1.0127109251328095,-3.598849614449423e-05,1.3344794299115041,-1.1956461596004206
7.801853726885355e-05,4.888572284666992e-05,-4.905477123529067e-05,-7.815752585571545e-05,8.054211593133687e-05,2.7751100589945565e-05,-1.2175895433492667,-0.28515080634216877,-1.1164983253821708,2.7882019579920206e-05,1.4015657983107639,-1.2176843141479028
-4.7703933604203996e-05,8.250332566284158e-05,-5.302449562805123e-05,8.329172589149891e-05,-2.8003216768546224e-05,3.6454892295978425e-05,-1.5597588389062524,-0.2931222685213905,-1.2673905197306397,-7.721434927338765e-05,1.5604677715578728,-1.5596189831492435
6.37082112966425e-05,-7.31173202952462e-05,3.611233365230504e-05,-1.853454600464488e-05,3.5501191372411256e-05,-9.129425375320466e-05,-1.1979297591771403,-0.4152523271292743,-0.9919795883165382,6.673334268365898e-05,1.4074482291541268,-1.1979796436685102
7.927791439144016e-05,-6.219403434570836e-05,9.844954844240306e-05,2.2027519158918096e-05,9.988726513654456e-05,6.068909877132711e-05,-1.1629087467855355,-0.4283833126010814,-0.9365631361822037,-1.95470029288017e-05,1.3651657345143644,-1.1627936490796296
-8.612912680128204e-05,8.7422621842137e-05,-8.139088847070042e-05,-9.489376058002819e-05,-6.083540143020372e-05,2.442796746304765e-05,-1.570842094654053,-0.317167067517271,-1.2775193380526089,1.1667090182743904e-05,1.5948545143344797,-1.5709612949243956
6.736123647854697e-05,-2.0314968871559813e-05,6.976486659659997e-05,6.297907323382645e-05,-4.603998004615306e-05,1.0188137178346324e-05,-1.1237075038899076,-0.25882830616095437,-0.9991923030414168,5.001714347063986e-05,1.2579713619192676,-1.1236943432745259
-8.623214155889514e-05,8.463437082717462e-05,2.9895194656681667e-05,1.6886986335507004e-05,9.169551716325941e-05,-6.757362447373794e-06,-1.1686750734866078,-0.26969308119742025,-1.0456906140054185,-6.979788971087729e-05,1.3153647211500474,-1.168586889786672
5.9093802017073926e-05,2.2146393850341894e-05,-4.072537453581049e-05,-5.5784407772208056e-05,9.768294554834966e-05,-5.8235022645902745e-05,-1.1622161905529174,-0.40810335656867525,-0.910800830096486,-8.721522579847649e-05,1.3186785879548186,-1.1620668388990283
4.969177459113183e-05,-8.417958542139559e-05,3.8330009198617176e-05,-8.780025878429853e-05,1.5681218175522815e-05,-3.9882720818340545e-05,-1.1241468285117855,-0.2365362522812173,-0.9460015329486309,-1.0814717807657059e-05,1.1824146282291148,-1.124158686070351
-9.874830559120085e-05,-5.5303281692786754e-05,-8.068932627391945e-05,-6.158267910283399e-05,9.125918792651788e-05,7.731878375416557e-05,-1.176921603062954,-0.2420596034455206,-1.0744813639937438,1.5135460513190729e-05,1.3165107554271276,-1.1768831863818108
-5.65357462996019e-05,3.9038696455051536e-05,3.9407570443295015e-05,1.713022891358662e-05,9.447773016368899e-05,-1.4143289817525329e-05,-1.1082789223476686,-0.2946301374327343,-0.9445473176538122,3.292216673228353e-05,1.239115933479327,-1.1082271473511662
5.1067454434949866e-05,-2.9438850472907063e-05,-4.709408642700197e-05,6.293939591728304e-05,-6.523687319859306e-05,3.0054127275747078e-05,-1.1327082232067884,-0.232883765577053,-0.9952158935241688,0.00010185892612641529,1.228158089007117,-1.1328088624677528
-5.077709140977049e-05,6.800172793131054e-05,3.7050029402685425e-05,-6.199105804238769e-05,1.2358980356452776e-05,7.091193708674837e-05,-1.0849525677112424,-0.3223895616226472,-0.8212206598637227,0.00010047706149482257,1.1436984000104244,-1.085101848333977
4.433245418056231e-05,8.535142902132975e-05,9.279165490827523e-05,3.7134547244299654e-05,-7.330404766658916e-05,4.471238596526206e-05,-1.15439477252287,-0.3556990044001766,-1.0392721596772316,1.6287883408124974e-05,1.3949126115784047,-1.1544915214258895
8.359192782947389e-05,-3.64473348719585e-05,-3.40512498606671e-05,2.5353933721383726e-05,9.874950383448322e-05,4.9960955704086984e-05,-1.192486395713676,-0.29790954010243337,-0.9773904625981966,1.1208490961127335e-05,1.275390484527676,-1.1926715199604583
-4.443946110832542e-05,-4.109465976753768e-05,-5.3902641294456544e-05,5.159212390370982e-05,4.25901730327638e-05,-4.127120576402632e-05,-1.1740567882631918,-0.4137951129463782,-0.9839032924195169,8.906642024130737e-05,1.397773958457917,-1.1738662179712636
-4.437293180625801e-05,-7.60371570773799e-05,-3.8259822416009115e-05,-5.342355503579199e-05,8.287471531964741e-05,5.905656841420637e-05,-1.1990297496409847,-0.2880290590714411,-0.9468520692649108,4.6646545236549e-05,1.235064781510085,-1.1990034706533337
7.121210255434107e-05,9.48674998459964e-05,-2.5461852755093162e-05,4.244753915116917e-05,1.2370568681419059e-05,-6.392601539229048e-05,-1.2011764405652066,-0.1898042966085146,-1.196167595609594,-4.634193139880666e-05,1.3861174909315006,-1.2011966198126693
9.274552846605388e-05,0.00010333427840070186,-2.617657827119757e-05,4.336836289908774e-05,6.496168571334948e-05,2.0553209955309626e-05,-1.1065601113297805,-0.30532114651989395,-0.9302100749734401,-4.611389420910064e-05,1.235487676224762,-1.1065096035169408
-7.02142238964143e-05,-8.30793309551936e-05,-4.3569339496229986e-05,2.0486833433253082e-05,8.438362207829897e-05,-6.769648816629115e-05,-1.573726973079911,-0.37169435445005244,-1.2422448127962298,0.00010658837148896303,1.614051797291313,-1.5736685476559924
-8.552747795054216e-05,-5.563329664060035e-05,4.557950340533523e-05,9.332477924495208e-05,4.881559340752517e-06,-3.547292745498254e-05,-1.5672287724881724,-0.4453233646343122,-1.173821359547016,9.877918896579556e-05,1.6191704483062095,-1.5673180729402365
-8.736806985965018e-05,7.785516874214693e-05,-9.093582469699157e-05,2.7332961051840243e-05,1.6862155284513847e-05,-2.1991877400040494e-05,-1.103567680972106,-0.28675324297451277,-0.9044803694917801,-2.5147763885748406e-05,1.1912056228068115,-1.1035231794469433
-4.534257555821597e-05,2.8511052941659898e-05,-9.230649788438683e-05,2.1224279376674815e-05,-4.959177393182301e-06,6.468402109316429e-05,-1.1328385827896628,-0.23725508047846805,-1.0079995343968031,7.049136282984954e-05,1.2450300739668096,-1.1327218104549301
8.26867520951069e-05,-2.6633730819902723e-05,4.0841199835384145e-05,7.98797797623152e-05,0.00010067893635312686,9.062905645240704e-05,-1.1920015778296138,-0.25046169504185917,-1.1838002193844588,3.7311302596213354e-05,1.4342566016002565,-1.191945752722758
-4.513537221573216e-05,7.842225812382253e-05,-2.6985892464637118e-05,-8.380656998863145e-05,4.571289020027791e-05,7.691899866024698e-05,-1.5842493788910268,-0.2763011758838238,-1.346542714603546,2.285705107579335e-05,1.6226605044466313,-1.5843352446945365
9.186133007954567e-05,-8.209299716810392e-05,-9.293493129369779e-05,5.012026644024559e-05,-9.414543336738745e-05,-1.1241107627846247e-05,-1.1983450542560703,-0.417624436043995,-0.9957947240718894,-8.922294395440854e-05,1.4133580104636185,-1.1983645571394337
4.770240116869218e-05,3.3870207394315344e-05,-9.160248800910153e-05,-1.6909819959387562e-05,6.509095697992962e-05,6.673339171126003e-05,-1.6534045313536774,-0.4344945179660176,-0.9312986710565107,4.736198222337609e-06,1.3657615919112918,-1.6534435259080114
4.4296177421188077e-05,-8.415063541455936e-05,-4.956727815486062e-05,-2.346661710550535e-05,-8.192925342420665e-05,-8.04345940093043e-05,-1.221626503352879,-0.3583261403625872,-1.0748970717041502,6.24562669481412e-05,1.433315821720129,-1.2215436521951146
4.511393342809811e-05,0.00010323531299238908,-7.705313063954833e-05,-2.2640806761842214e-05,-1.588965472887338e-05,-7.233375353798976e-05,-1.1721487248245162,-0.4220513090789413,-0.9843365998484906,-4.061313015107354e-05,1.406275333190047,-1.1721627190043045
5.171667100789534e-05,2.599422096860593e-05,-8.999975582479891e-05,2.749508863697514e-05,7.975014995942331e-05,-5.0144927953077456e-05,-1.1477520504690288,-0.3799494284616692,-1.0257512900912356,-8.340316158407541e-05,1.4057526681467618,-1.1477358766133425
-6.615053870273613e-05,-4.62776392771147e-05,4.7865627154308754e-05,6.735647354538798e-05,-3.1679509701731945e-05,-9.149688710152759e-05,-1.1008585088444098,-0.291071408607166,-0.8974385103416178,8.57029370325953e-05,1.1886793544080976,-1.1007583232927385
-8.25184093926623e-05,0.00010655133371617609,6.44931575815022e-05,4.783668211594261e-05,-8.923473153821249e-05,-4.355011163603706e-05,-1.5925181740613323,-0.4265724964586016,-1.2467045317836984,-1.0637540493051154e-05,1.6731675437771412,-1.5925962972119465
-5.925621508851009e-05,-8.740819568497926e-05,4.010506712504025e-05,-8.044241738502933e-05,8.89802599424172e-05,-1.1227191485829735e-05,-1.2322378588018512,-0.31340074391453077,-1.0231248399807418,0.04595652444490637,1.3209158889882289,-1.2431434996296769
